id,company_id,customer_id,order_number,order_date,status,subtotal,gst_amount,total_amount,notes
9c0e1c03-8303-4011-92e9-1ef93b327150,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,6fd6968c-c8e8-4aab-a786-3f1142204c45,SO-000001,2023-07-03,confirmed,1718.70,171.87,1890.57,
59eacb39-fcd7-463e-927d-a620c96c948f,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,990f257f-efe9-4741-b0a0-84bcf874ac1d,SO-000002,2023-07-03,confirmed,882.13,88.22,970.35,
99ab1dad-36df-46ca-bfad-73b26e0edd6f,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,9e0d65ed-cb40-45c3-b3e1-89ab33537dce,SO-000003,2023-07-04,confirmed,3449.01,344.90,3793.91,
baa127d1-2f4c-463d-a303-49d3c023bf2b,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,30ff27c5-ca76-45ae-9628-b1a72ba9f830,SO-000004,2023-07-04,confirmed,460.46,46.05,506.51,
1836aa1d-1872-49d8-8039-d648c5d22ea1,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,2816264c-276b-4269-8416-7cf22c1d0af8,SO-000005,2023-07-05,confirmed,2452.85,245.29,2698.14,
75c09918-952d-4b6c-b027-530152859e7b,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,21724384-0cf5-4ae7-bd4a-7f51c4b3fb50,SO-000006,2023-07-05,confirmed,1152.32,115.24,1267.56,
e1f540c0-de04-44b2-b339-2920cb75bc9e,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,9b195647-be5f-4dca-a888-c92eca85e957,SO-000007,2023-07-06,confirmed,2391.57,239.17,2630.74,
22adf09b-3f0a-421a-88d0-be5af211b29a,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,667e3279-011e-47db-8e70-a02d6687e9eb,SO-000008,2023-07-06,confirmed,331.68,33.17,364.85,
ac8bd3fe-e2ba-47ae-8d88-a1f74b6ab008,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,67196b05-6b1d-4332-9908-465aaaed6f6a,SO-000009,2023-07-06,confirmed,1573.36,157.34,1730.70,
06c96913-4484-4352-8e85-f9694623eff7,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,57377d82-8035-44e7-b2a6-6e45b437d1ca,SO-000010,2023-07-07,confirmed,3447.24,344.72,3791.96,
9c8b2ed7-485a-49b4-836c-ab702cf9e09a,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,18a3a0b3-83a9-40a3-9b04-269f953b9330,SO-000011,2023-07-11,confirmed,717.49,71.75,789.24,
12b17c0b-995b-4420-a2ac-2d3e7f61d058,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,02673621-7c05-4666-b53f-e6658a0ddd69,SO-000012,2023-07-12,confirmed,1453.14,145.32,1598.46,
02eefd32-a825-4251-9c62-ea99728fb9c0,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,b5ac4d50-539f-41d6-84b8-fd1da0d0972a,SO-000013,2023-07-12,confirmed,2201.58,220.16,2421.74,
772eed9a-cc9f-473a-b26f-b8aa49ac35a5,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,dfc3e155-fd59-4b8a-a5de-10f5ac28accf,SO-000014,2023-07-12,confirmed,570.57,57.06,627.63,
a5bf612b-efa4-453f-ae4e-9b8705dc3861,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,02673621-7c05-4666-b53f-e6658a0ddd69,SO-000015,2023-07-13,confirmed,492.08,49.20,541.28,
b5bd4c03-a4cf-4073-be1b-ea2cb6f3bc5c,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,5be4ae22-6400-44c3-bc41-6179d01326ee,SO-000016,2023-07-13,confirmed,1618.41,161.84,1780.25,
